epoch	src	seqn
1	0	0
1	0	1
4	0	2
4	0	3
4	0	4
4	0	5
4	0	6
4	0	7
4	0	8
4	0	9
4	0	10
4	0	11
4	0	12
4	0	13
4	0	14
4	0	15
4	0	16
4	0	17
4	0	18
4	0	19
4	0	20
4	0	21
4	0	22
4	0	23
4	0	24
4	0	25
4	0	26
5	0	27
5	0	28
5	0	29
5	0	30
5	0	31
6	0	32
6	0	33
6	0	34
6	0	35
6	0	36
6	0	37
7	0	38
7	0	39
7	0	40
7	0	41
7	0	42
7	0	43
7	0	44
7	0	45
7	0	46
7	0	47
7	0	48
7	0	49
7	0	50
7	0	51
7	0	52
7	0	53
7	0	54
7	0	55
7	0	56
7	0	57
7	0	58
7	0	59
7	0	60
7	0	61
7	0	62
7	0	63
7	0	64
7	0	65
7	0	66
7	0	67
7	0	68
7	0	69
1	1	0
1	1	1
4	1	2
4	1	3
4	1	4
4	1	5
4	1	6
4	1	7
4	1	8
4	1	9
4	1	10
4	1	11
4	1	12
4	1	13
4	1	14
4	1	15
4	1	16
4	1	17
4	1	18
4	1	19
4	2	0
4	2	1
4	2	2
4	2	3
4	2	4
4	2	5
4	2	6
4	2	7
4	2	8
4	2	9
4	2	10
4	2	11
4	2	12
4	2	13
4	2	14
4	2	15
5	2	16
5	2	17
5	2	18
5	2	19
4	3	0
4	3	1
4	3	2
4	3	3
4	3	4
4	3	5
4	3	6
4	3	7
4	3	8
4	3	9
4	3	10
4	3	11
4	3	12
4	3	13
4	3	14
4	3	15
4	3	16
4	3	17
4	3	18
5	3	19
4	4	0
4	4	1
4	4	2
4	4	3
4	4	4
4	4	5
4	4	6
4	4	7
4	4	8
4	4	9
4	4	10
4	4	11
4	4	12
4	4	13
4	4	14
4	4	15
4	4	16
4	4	17
4	4	18
4	4	19
